# number of rays:      62
# iteration   ray    X              A              Y              B
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2 -0.1000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.0000000E+00  0.0000000E+00 -0.1000000E+00  0.0000000E+00
         0      4 -0.9310345E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      5  0.0000000E+00  0.0000000E+00 -0.9310345E-01  0.0000000E+00
         0      6 -0.8620690E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      7  0.0000000E+00  0.0000000E+00 -0.8620690E-01  0.0000000E+00
         0      8 -0.7931034E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      9  0.0000000E+00  0.0000000E+00 -0.7931034E-01  0.0000000E+00
         0     10 -0.7241379E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     11  0.0000000E+00  0.0000000E+00 -0.7241379E-01  0.0000000E+00
         0     12 -0.6551724E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     13  0.0000000E+00  0.0000000E+00 -0.6551724E-01  0.0000000E+00
         0     14 -0.5862069E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     15  0.0000000E+00  0.0000000E+00 -0.5862069E-01  0.0000000E+00
         0     16 -0.5172414E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     17  0.0000000E+00  0.0000000E+00 -0.5172414E-01  0.0000000E+00
         0     18 -0.4482759E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     19  0.0000000E+00  0.0000000E+00 -0.4482759E-01  0.0000000E+00
         0     20 -0.3793103E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     21  0.0000000E+00  0.0000000E+00 -0.3793103E-01  0.0000000E+00
         0     22 -0.3103448E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     23  0.0000000E+00  0.0000000E+00 -0.3103448E-01  0.0000000E+00
         0     24 -0.2413793E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     25  0.0000000E+00  0.0000000E+00 -0.2413793E-01  0.0000000E+00
         0     26 -0.1724138E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     27  0.0000000E+00  0.0000000E+00 -0.1724138E-01  0.0000000E+00
         0     28 -0.1034483E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     29  0.0000000E+00  0.0000000E+00 -0.1034483E-01  0.0000000E+00
         0     30 -0.3448276E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     31  0.0000000E+00  0.0000000E+00 -0.3448276E-02  0.0000000E+00
         0     32  0.3448276E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     33  0.0000000E+00  0.0000000E+00  0.3448276E-02  0.0000000E+00
         0     34  0.1034483E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     35  0.0000000E+00  0.0000000E+00  0.1034483E-01  0.0000000E+00
         0     36  0.1724138E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     37  0.0000000E+00  0.0000000E+00  0.1724138E-01  0.0000000E+00
         0     38  0.2413793E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     39  0.0000000E+00  0.0000000E+00  0.2413793E-01  0.0000000E+00
         0     40  0.3103448E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     41  0.0000000E+00  0.0000000E+00  0.3103448E-01  0.0000000E+00
         0     42  0.3793103E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     43  0.0000000E+00  0.0000000E+00  0.3793103E-01  0.0000000E+00
         0     44  0.4482759E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     45  0.0000000E+00  0.0000000E+00  0.4482759E-01  0.0000000E+00
         0     46  0.5172414E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     47  0.0000000E+00  0.0000000E+00  0.5172414E-01  0.0000000E+00
         0     48  0.5862069E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     49  0.0000000E+00  0.0000000E+00  0.5862069E-01  0.0000000E+00
         0     50  0.6551724E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     51  0.0000000E+00  0.0000000E+00  0.6551724E-01  0.0000000E+00
         0     52  0.7241379E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     53  0.0000000E+00  0.0000000E+00  0.7241379E-01  0.0000000E+00
         0     54  0.7931034E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     55  0.0000000E+00  0.0000000E+00  0.7931034E-01  0.0000000E+00
         0     56  0.8620690E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     57  0.0000000E+00  0.0000000E+00  0.8620690E-01  0.0000000E+00
         0     58  0.9310345E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     59  0.0000000E+00  0.0000000E+00  0.9310345E-01  0.0000000E+00
         0     60  0.1000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     61  0.0000000E+00  0.0000000E+00  0.1000000E+00  0.0000000E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      2  0.6080705E+08  0.6347707E+07  0.0000000E+00  0.0000000E+00
         1      3  0.1003811E-01 -0.6452058E-02  0.9512995E-01  0.8566511E-03
         1      4  0.4935136E+04 -0.1166164E+06  0.0000000E+00  0.0000000E+00
         1      5  0.8562123E-02 -0.5563359E-02  0.8806176E-01  0.8952926E-03
         1      6 -0.2116066E+04 -0.3589055E+03  0.0000000E+00  0.0000000E+00
         1      7  0.7245929E-02 -0.4748230E-02  0.8123253E-01  0.9103545E-03
         1      8 -0.2041314E+02  0.5723936E+01  0.0000000E+00  0.0000000E+00
         1      9  0.6069815E-02 -0.4003396E-02  0.7456446E-01  0.9051474E-03
         1     10  0.4094675E+00  0.4258165E+00  0.0000000E+00  0.0000000E+00
         1     11  0.5019090E-02 -0.3326363E-02  0.6800159E-01  0.8822543E-03
         1     12  0.1977488E+00  0.6317400E-01  0.0000000E+00  0.0000000E+00
         1     13  0.4082832E-02 -0.2715194E-02  0.6150356E-01  0.8437795E-03
         1     14  0.9760875E-01  0.2410771E-01  0.0000000E+00  0.0000000E+00
         1     15  0.3252985E-02 -0.2168368E-02  0.5504139E-01  0.7915165E-03
         1     16  0.6392137E-01  0.1453300E-01  0.0000000E+00  0.0000000E+00
         1     17  0.2523692E-02 -0.1684680E-02  0.4859468E-01  0.7270636E-03
         1     18  0.4756008E-01  0.1015457E-01  0.0000000E+00  0.0000000E+00
         1     19  0.1890785E-02 -0.1263175E-02  0.4214956E-01  0.6519043E-03
         1     20  0.3701627E-01  0.7373026E-02  0.0000000E+00  0.0000000E+00
         1     21  0.1351387E-02 -0.9030940E-03  0.3569728E-01  0.5674619E-03
         1     22  0.2891679E-01  0.5326813E-02  0.0000000E+00  0.0000000E+00
         1     23  0.9035953E-03 -0.6038404E-03  0.2923305E-01  0.4751363E-03
         1     24  0.2197796E-01  0.3719811E-02  0.0000000E+00  0.0000000E+00
         1     25  0.5462177E-03 -0.3649502E-03  0.2275518E-01  0.3763276E-03
         1     26  0.1558704E-01  0.2415711E-02  0.0000000E+00  0.0000000E+00
         1     27  0.2785611E-03 -0.1860727E-03  0.1626439E-01  0.2724487E-03
         1     28  0.9394728E-02  0.1333808E-02  0.0000000E+00  0.0000000E+00
         1     29  0.1002585E-03 -0.6695622E-04  0.9763147E-02  0.1649305E-03
         1     30  0.3174009E-02  0.4147473E-03  0.0000000E+00  0.0000000E+00
         1     31  0.1113871E-04 -0.7437927E-05  0.3255158E-02  0.5522081E-04
         1     32 -0.3240230E-02 -0.3933054E-03  0.0000000E+00  0.0000000E+00
         1     33  0.1113871E-04 -0.7437927E-05 -0.3255158E-02 -0.5522081E-04
         1     34 -0.9986322E-02 -0.1141491E-02  0.0000000E+00  0.0000000E+00
         1     35  0.1002585E-03 -0.6695622E-04 -0.9763147E-02 -0.1649305E-03
         1     36 -0.1720745E-01 -0.1884867E-02  0.0000000E+00  0.0000000E+00
         1     37  0.2785611E-03 -0.1860727E-03 -0.1626439E-01 -0.2724487E-03
         1     38 -0.2509432E-01 -0.2687767E-02  0.0000000E+00  0.0000000E+00
         1     39  0.5462177E-03 -0.3649502E-03 -0.2275518E-01 -0.3763276E-03
         1     40 -0.3396246E-01 -0.3634265E-02  0.0000000E+00  0.0000000E+00
         1     41  0.9035953E-03 -0.6038404E-03 -0.2923305E-01 -0.4751363E-03
         1     42 -0.4443247E-01 -0.4855081E-02  0.0000000E+00  0.0000000E+00
         1     43  0.1351387E-02 -0.9030940E-03 -0.3569728E-01 -0.5674619E-03
         1     44 -0.5796861E-01 -0.6610605E-02  0.0000000E+00  0.0000000E+00
         1     45  0.1890785E-02 -0.1263175E-02 -0.4214956E-01 -0.6519043E-03
         1     46 -0.7895116E-01 -0.9604109E-02  0.0000000E+00  0.0000000E+00
         1     47  0.2523692E-02 -0.1684680E-02 -0.4859468E-01 -0.7270636E-03
         1     48 -0.1254911E+00 -0.1652994E-01  0.0000000E+00  0.0000000E+00
         1     49  0.3252985E-02 -0.2168368E-02 -0.5504139E-01 -0.7915165E-03
         1     50 -0.3169695E+00 -0.4338263E-01  0.0000000E+00  0.0000000E+00
         1     51  0.4082832E-02 -0.2715194E-02 -0.6150356E-01 -0.8437795E-03
         1     52 -0.2253726E+01 -0.2675279E+00  0.0000000E+00  0.0000000E+00
         1     53  0.5019090E-02 -0.3326363E-02 -0.6800159E-01 -0.8822543E-03
         1     54 -0.6383080E+02 -0.5575533E+01  0.0000000E+00  0.0000000E+00
         1     55  0.6069815E-02 -0.4003396E-02 -0.7456446E-01 -0.9051474E-03
         1     56 -0.6391441E+04 -0.4673390E+03  0.0000000E+00  0.0000000E+00
         1     57  0.7245929E-02 -0.4748230E-02 -0.8123253E-01 -0.9103545E-03
         1     58 -0.1677922E+07 -0.1515552E+06  0.0000000E+00  0.0000000E+00
         1     59  0.8562123E-02 -0.5563359E-02 -0.8806176E-01 -0.8952926E-03
         1     60 -0.8483616E+09 -0.1251354E+09  0.0000000E+00  0.0000000E+00
         1     61  0.1003811E-01 -0.6452058E-02 -0.9512995E-01 -0.8566511E-03

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      2  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      3 -0.5549579E-02 -0.6566766E-04 -0.7458875E-01 -0.2502263E-02
         2      4  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      5 -0.4900419E-02 -0.2259035E-03 -0.6840969E-01 -0.2443749E-02
         2      6  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      7 -0.4280349E-02 -0.3411087E-03 -0.6292054E-01 -0.2347450E-02
         2      8 -0.5550265E+20 -0.5432192E+20  0.0000000E+00  0.0000000E+00
         2      9 -0.3689664E-02 -0.4114177E-03 -0.5785068E-01 -0.2221626E-02
         2     10  0.1200088E+09  0.3841456E+08  0.0000000E+00  0.0000000E+00
         2     11 -0.3130622E-02 -0.4410905E-03 -0.5301201E-01 -0.2072838E-02
         2     12 -0.3550143E+02  0.8532054E+02  0.0000000E+00  0.0000000E+00
         2     13 -0.2606306E-02 -0.4365421E-03 -0.4827375E-01 -0.1906418E-02
         2     14  0.1982732E+00 -0.9752785E-01  0.0000000E+00  0.0000000E+00
