# number of rays:      62
# iteration   ray    X              A              Y              B
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2 -0.1000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.0000000E+00  0.0000000E+00 -0.1000000E+00  0.0000000E+00
         0      4 -0.9310345E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      5  0.0000000E+00  0.0000000E+00 -0.9310345E-01  0.0000000E+00
         0      6 -0.8620690E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      7  0.0000000E+00  0.0000000E+00 -0.8620690E-01  0.0000000E+00
         0      8 -0.7931034E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      9  0.0000000E+00  0.0000000E+00 -0.7931034E-01  0.0000000E+00
         0     10 -0.7241379E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     11  0.0000000E+00  0.0000000E+00 -0.7241379E-01  0.0000000E+00
         0     12 -0.6551724E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     13  0.0000000E+00  0.0000000E+00 -0.6551724E-01  0.0000000E+00
         0     14 -0.5862069E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     15  0.0000000E+00  0.0000000E+00 -0.5862069E-01  0.0000000E+00
         0     16 -0.5172414E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     17  0.0000000E+00  0.0000000E+00 -0.5172414E-01  0.0000000E+00
         0     18 -0.4482759E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     19  0.0000000E+00  0.0000000E+00 -0.4482759E-01  0.0000000E+00
         0     20 -0.3793103E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     21  0.0000000E+00  0.0000000E+00 -0.3793103E-01  0.0000000E+00
         0     22 -0.3103448E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     23  0.0000000E+00  0.0000000E+00 -0.3103448E-01  0.0000000E+00
         0     24 -0.2413793E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     25  0.0000000E+00  0.0000000E+00 -0.2413793E-01  0.0000000E+00
         0     26 -0.1724138E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     27  0.0000000E+00  0.0000000E+00 -0.1724138E-01  0.0000000E+00
         0     28 -0.1034483E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     29  0.0000000E+00  0.0000000E+00 -0.1034483E-01  0.0000000E+00
         0     30 -0.3448276E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     31  0.0000000E+00  0.0000000E+00 -0.3448276E-02  0.0000000E+00
         0     32  0.3448276E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     33  0.0000000E+00  0.0000000E+00  0.3448276E-02  0.0000000E+00
         0     34  0.1034483E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     35  0.0000000E+00  0.0000000E+00  0.1034483E-01  0.0000000E+00
         0     36  0.1724138E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     37  0.0000000E+00  0.0000000E+00  0.1724138E-01  0.0000000E+00
         0     38  0.2413793E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     39  0.0000000E+00  0.0000000E+00  0.2413793E-01  0.0000000E+00
         0     40  0.3103448E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     41  0.0000000E+00  0.0000000E+00  0.3103448E-01  0.0000000E+00
         0     42  0.3793103E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     43  0.0000000E+00  0.0000000E+00  0.3793103E-01  0.0000000E+00
         0     44  0.4482759E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     45  0.0000000E+00  0.0000000E+00  0.4482759E-01  0.0000000E+00
         0     46  0.5172414E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     47  0.0000000E+00  0.0000000E+00  0.5172414E-01  0.0000000E+00
         0     48  0.5862069E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     49  0.0000000E+00  0.0000000E+00  0.5862069E-01  0.0000000E+00
         0     50  0.6551724E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     51  0.0000000E+00  0.0000000E+00  0.6551724E-01  0.0000000E+00
         0     52  0.7241379E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     53  0.0000000E+00  0.0000000E+00  0.7241379E-01  0.0000000E+00
         0     54  0.7931034E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     55  0.0000000E+00  0.0000000E+00  0.7931034E-01  0.0000000E+00
         0     56  0.8620690E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     57  0.0000000E+00  0.0000000E+00  0.8620690E-01  0.0000000E+00
         0     58  0.9310345E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     59  0.0000000E+00  0.0000000E+00  0.9310345E-01  0.0000000E+00
         0     60  0.1000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     61  0.0000000E+00  0.0000000E+00  0.1000000E+00  0.0000000E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      2 -0.9277813E+09  0.7278450E+10  0.0000000E+00  0.0000000E+00
         1      3 -0.1446987E-01 -0.1778186E-02  0.1093409E-01 -0.4924910E-02
         1      4 -0.1117143E+03  0.1195389E+02  0.0000000E+00  0.0000000E+00
         1      5 -0.1249183E-01 -0.1532419E-02  0.1067914E-01 -0.4569517E-02
         1      6  0.1186164E+00 -0.1647717E+00  0.0000000E+00  0.0000000E+00
         1      7 -0.1067145E-01 -0.1307404E-02  0.1031237E-01 -0.4219151E-02
         1      8  0.8265819E-01 -0.4266224E-01  0.0000000E+00  0.0000000E+00
         1      9 -0.9004049E-02 -0.1102096E-02  0.9844727E-02 -0.3872759E-02
         1     10  0.5631661E-01 -0.2851795E-01  0.0000000E+00  0.0000000E+00
         1     11 -0.7485721E-02 -0.9156723E-03  0.9286040E-02 -0.3529491E-02
         1     12  0.4266367E-01 -0.2258618E-01  0.0000000E+00  0.0000000E+00
         1     13 -0.6113257E-02 -0.7474925E-03  0.8645339E-02 -0.3188655E-02
         1     14  0.3337467E-01 -0.1871609E-01  0.0000000E+00  0.0000000E+00
         1     15 -0.4884008E-02 -0.5970600E-03  0.7931105E-02 -0.2849692E-02
         1     16  0.2625058E-01 -0.1571303E-01  0.0000000E+00  0.0000000E+00
         1     17 -0.3795806E-02 -0.4639940E-03  0.7151445E-02 -0.2512153E-02
         1     18  0.2048505E-01 -0.1317207E-01  0.0000000E+00  0.0000000E+00
         1     19 -0.2846884E-02 -0.3480059E-03  0.6314233E-02 -0.2175678E-02
         1     20  0.1569836E-01 -0.1090450E-01  0.0000000E+00  0.0000000E+00
         1     21 -0.2035818E-02 -0.2488804E-03  0.5427202E-02 -0.1839984E-02
         1     22  0.1167609E-01 -0.8803724E-02  0.0000000E+00  0.0000000E+00
         1     23 -0.1361475E-02 -0.1664601E-03  0.4498015E-02 -0.1504851E-02
         1     24  0.8278997E-02 -0.6801777E-02  0.0000000E+00  0.0000000E+00
         1     25 -0.8229733E-03 -0.1006324E-03  0.3534311E-02 -0.1170109E-02
         1     26  0.5405580E-02 -0.4851772E-02  0.0000000E+00  0.0000000E+00
         1     27 -0.4196461E-03 -0.5131940E-04  0.2543731E-02 -0.8356304E-03
         1     28  0.2974063E-02 -0.2919597E-02  0.0000000E+00  0.0000000E+00
         1     29 -0.1510162E-03 -0.1846955E-04  0.1533932E-02 -0.5013179E-03
         1     30  0.9128089E-03 -0.9794839E-03  0.0000000E+00  0.0000000E+00
         1     31 -0.1677647E-04 -0.2051878E-05  0.5125937E-03 -0.1670964E-03
         1     32 -0.8452335E-03  0.9886748E-03  0.0000000E+00  0.0000000E+00
         1     33 -0.1677647E-04 -0.2051878E-05 -0.5125937E-03  0.1670964E-03
         1     34 -0.2365914E-02  0.3001204E-02  0.0000000E+00  0.0000000E+00
         1     35 -0.1510162E-03 -0.1846955E-04 -0.1533932E-02  0.5013179E-03
         1     36 -0.3716082E-02  0.5072237E-02  0.0000000E+00  0.0000000E+00
         1     37 -0.4196461E-03 -0.5131940E-04 -0.2543731E-02  0.8356304E-03
         1     38 -0.4965171E-02  0.7215335E-02  0.0000000E+00  0.0000000E+00
         1     39 -0.8229733E-03 -0.1006324E-03 -0.3534311E-02  0.1170109E-02
         1     40 -0.6186663E-02  0.9445372E-02  0.0000000E+00  0.0000000E+00
         1     41 -0.1361475E-02 -0.1664601E-03 -0.4498015E-02  0.1504851E-02
         1     42 -0.7459975E-02  0.1178100E-01  0.0000000E+00  0.0000000E+00
         1     43 -0.2035818E-02 -0.2488804E-03 -0.5427202E-02  0.1839984E-02
         1     44 -0.8873623E-02  0.1424813E-01  0.0000000E+00  0.0000000E+00
         1     45 -0.2846884E-02 -0.3480059E-03 -0.6314233E-02  0.2175678E-02
         1     46 -0.1053114E-01  0.1688539E-01  0.0000000E+00  0.0000000E+00
         1     47 -0.3795806E-02 -0.4639940E-03 -0.7151445E-02  0.2512153E-02
         1     48 -0.1256296E-01  0.1975377E-01  0.0000000E+00  0.0000000E+00
         1     49 -0.4884008E-02 -0.5970600E-03 -0.7931105E-02  0.2849692E-02
         1     50 -0.1515227E-01  0.2295610E-01  0.0000000E+00  0.0000000E+00
         1     51 -0.6113257E-02 -0.7474925E-03 -0.8645339E-02  0.3188655E-02
         1     52 -0.1859986E-01  0.2668436E-01  0.0000000E+00  0.0000000E+00
         1     53 -0.7485721E-02 -0.9156723E-03 -0.9286040E-02  0.3529491E-02
         1     54 -0.2352715E-01  0.3136265E-01  0.0000000E+00  0.0000000E+00
         1     55 -0.9004049E-02 -0.1102096E-02 -0.9844727E-02  0.3872759E-02
         1     56 -0.3177862E-01  0.3824241E-01  0.0000000E+00  0.0000000E+00
         1     57 -0.1067145E-01 -0.1307404E-02 -0.1031237E-01  0.4219151E-02
         1     58 -0.5357924E-01  0.5350498E-01  0.0000000E+00  0.0000000E+00
         1     59 -0.1249183E-01 -0.1532419E-02 -0.1067914E-01  0.4569517E-02
         1     60 -0.3213337E+00  0.1711623E+00  0.0000000E+00  0.0000000E+00
         1     61 -0.1446987E-01 -0.1778186E-02 -0.1093409E-01  0.4924910E-02

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      2  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      3  0.1163662E-01 -0.6233643E-02  0.9758886E-01  0.5738099E-03
         2      4  0.1712092E+25 -0.2118029E+24  0.0000000E+00  0.0000000E+00
         2      5  0.9985169E-02 -0.5373077E-02  0.9005412E-01  0.6548127E-03
         2      6  0.3749440E+04  0.9156342E+03  0.0000000E+00  0.0000000E+00
         2      7  0.8498518E-02 -0.4580093E-02  0.8284683E-01  0.7088617E-03
         2      8  0.4481750E+00  0.1577452E+00  0.0000000E+00  0.0000000E+00
         2      9  0.7157381E-02 -0.3854521E-02  0.7587526E-01  0.7382926E-03
         2     10  0.1744964E+00  0.2929805E-01  0.0000000E+00  0.0000000E+00
         2     11  0.5947961E-02 -0.3195582E-02  0.6906996E-01  0.7454212E-03
         2     12  0.1030953E+00  0.1828147E-01  0.0000000E+00  0.0000000E+00
         2     13  0.4860576E-02 -0.2602158E-02  0.6237824E-01  0.7325073E-03
         2     14  0.7225350E-01  0.1424556E-01  0.0000000E+00  0.0000000E+00
